epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2485.71,0.51599,0.71243,0.37261,0.83614,0.95831,0.84758,0.92735,0.82881,0.95831,0.84758,0.92436,0.83473,0.51457,0.73035,0.4704,0.84383,0.000676802,0.000676802,0.000676802
92,2508.77,0.51785,0.68491,0.37406,0.83842,0.92351,0.87732,0.92718,0.8331,0.92351,0.87732,0.92642,0.82903,0.51733,0.77094,0.45204,0.84334,0.0006658,0.0006658,0.0006658
93,2534.6,0.52708,0.72698,0.37901,0.84093,0.96613,0.84837,0.93333,0.84109,0.97036,0.85188,0.93488,0.83511,0.51015,0.74776,0.44414,0.84578,0.000654798,0.000654798,0.000654798
94,2560.51,0.52062,0.71337,0.37287,0.84009,0.94584,0.84758,0.93039,0.83557,0.97252,0.829,0.92529,0.83167,0.50751,0.74084,0.47494,0.83833,0.000643795,0.000643795,0.000643795
95,2584.15,0.51447,0.70977,0.3708,0.83887,0.95331,0.85502,0.93097,0.83086,0.95134,0.8513,0.92948,0.82703,0.52393,0.7444,0.45919,0.84615,0.000632793,0.000632793,0.000632793
96,2611.96,0.5317,0.71708,0.3668,0.84444,0.95881,0.86525,0.92737,0.83194,0.95469,0.86153,0.92909,0.83559,0.5095,0.72747,0.4701,0.83779,0.000621791,0.000621791,0.000621791
97,2635.98,0.52719,0.74602,0.37267,0.83962,0.94869,0.89351,0.93909,0.84147,0.94869,0.89351,0.94226,0.84793,0.51173,0.7513,0.44129,0.84282,0.000610789,0.000610789,0.000610789
98,2664.87,0.5166,0.70578,0.36845,0.8371,0.95173,0.87361,0.93766,0.83918,0.94901,0.86989,0.93842,0.83705,0.49986,0.752,0.45327,0.8377,0.000599787,0.000599787,0.000599787
99,2691.87,0.50466,0.68163,0.35876,0.83577,0.94018,0.85874,0.93257,0.83854,0.96188,0.84415,0.93465,0.83174,0.49578,0.74865,0.445,0.8375,0.000588784,0.000588784,0.000588784
100,2718.74,0.51601,0.70523,0.36398,0.84385,0.9328,0.87729,0.93423,0.84167,0.93906,0.85933,0.93213,0.84212,0.50212,0.76959,0.45897,0.84043,0.000577782,0.000577782,0.000577782
101,2747.47,0.51591,0.67992,0.36632,0.83492,0.93946,0.86529,0.93182,0.83695,0.9543,0.854,0.93487,0.83442,0.50599,0.75874,0.4604,0.84187,0.00056678,0.00056678,0.00056678
102,2772.81,0.50781,0.69423,0.35846,0.8323,0.96153,0.84387,0.9336,0.8445,0.95794,0.8466,0.93434,0.83329,0.50796,0.74441,0.45269,0.8362,0.000555778,0.000555778,0.000555778
103,2802.65,0.51172,0.69219,0.36157,0.8332,0.94773,0.87616,0.92423,0.83374,0.95486,0.86245,0.92462,0.82522,0.50183,0.727,0.4412,0.83477,0.000544776,0.000544776,0.000544776
